Number,Title,Company,City,State,Zip,Country,Salary,MinSalary,MaxSalary,AvgSalary,Rating,Summary,Website,Type of Job,Level of Job,,
Analyze and research questions on DoD personnel, military readiness and efficacy, and organizational efficiency topics. 
Assessment of federal agency information and computing architectures that support data science applications (i.e., large, distributed data sets and computational assets); 
Application of data exploration, text analytics, forecasting, statistical inference, simulation to areas of military personnel, manpower, and acquisition of DOD weapon systems. 

 Over the course of the three-year program, fellowship experiences will include: 

 Involvement in workshops and discussions on relevant topics 
Mentorship from members of the IDA research staff 
Training on specific analytical methods and tools 
Attendance and presentation at select professional society meetings 

 Qualifications 

 This is a full time position and is only open to recent recipients of a bachelor’s or master’s degree. Candidates with degrees higher than a master’s degree will not be considered. 

 Candidate with recent Bachelor’s degree or Masters’ degree in economics, statistics, operations research, mathematics, physics, computer science, data science, or related disciplines with a strong foundation in statistics and/or applied mathematics are encouraged to apply. 

 Candidates must demonstrate experience with one or more programming language or statistical software used in research (e.g., Python, R, Julia, Stata, MATLAB, C, Java, etc.) 

 Candidates must demonstrate strong written and oral communication skills. Ideal candidates are able to contribute to and support team efforts. 

Additional preferred skills include:
 Training and/or experience in quantitative or qualitative information collection, data normalization, and text analytics 
Experience as a research assistant in an academic or policy research setting 
Experience or coursework in Bayesian statistics, machine learning, predictive analytics, and/or geospatial analyses 
Experience with GPU, high-throughput, and/or distributed computing 

 U.S. citizenship is required. 

 In addition to the application, applicants at later stages in the process will be required to submit the following documents: 

 Personal Statement— explain in 1,000 words or less why you want to work in the area of data science and analytics in defense and national security and how your background/experience will contribute to IDA’s work 

 Writing Sample—5,000 word maximum 

 Transcripts - unofficial transcript is acceptable for consideration, but an official transcript is needed before any offer of employment will be made 

 Two Letters of Academic Recommendation—letters must be signed by the individual rendering the reference and delivered as PDF files. 

 U.S. Citizenship is required 
Ability to obtain and maintain a security clearance is required 
Equal Opportunity Employer",SimplyHired.com,Data Scientist,Intern,,
635,Data Engineer (Data Science),,Chicago,IL,,USA,0.00,91000.00,130000.00,110500.00,,"EducationBachelor's Degree
SkillsNoSQL
SQL
Data Management
Tableau
Software DevelopmentOverview 

 UL is seeking an experienced data engineer to join the iON team in either Chicago, IL or Laramie, WY. 

 Contribute to a Safer, More Secure, and More Sustainable World. At UL, we know why we come to work. Thousands of us around the world wake up every day with one common purpose – to make the world a safer, more secure, and more sustainable place to live. We clear the way for our customers to introduce the latest products, technological advances, and systems in an increasingly complex world so they can provide peace of mind to the market. Our integrity is woven throughout our company and shapes the way we approach and deliver our solutions. We are proud that the work we do every day has a meaningful contribution to society. We continue to build upon our legacy of trusted expertise and partnership to keep our communities safe and secure as we march forward into the future. This helps us to sleep better at night, and we are confident that the millions of people we touch rest easier too. 

 iON is a big data platform combining data ingest, data enrichment, analytics, machine learning and artificial intelligence. The iON team is now looking to add a data engineer to accelerate the growth of the most innovative UL digital technology investment in its history. Our goal is to enable the UL client base to effectively leverage recent developments in the digital revolution, by giving them the ability to truly leverage their own corpus of data combined with 3rd party data sources, UL’s core data sources and deep Voice of Science competences, to win in a rapidly evolving digital eco-system. 

 Responsibilities 

 Our ideal candidate is someone who is passionate about working with data and driven to deliver creative and compelling solutions which turn data into actionable information for our customers. We are seeking someone who is self-directed yet collaborative. As a key resource on our team you must possess strong interpersonal skills, maintain a high degree of accuracy and attention to detail and have excellent oral and written communication skills. The role will be responsible for analyzing, designing and developing innovative analytical solutions which drive business insights within our products. 

 You must have experience and passion for building large analytical platforms systems. As a data engineer, you will be required to: 

 Profile and analyze data in designing scalable solutions 
Develop highly scalable and extensible Big Data platforms which enable collection, storage, modeling, and analysis of massive data sets including those from streaming data 
Leverage technologies such as the Azure BI Stack and PowerBI visualization platforms, and modern developer tools to execute innovative solutions that facilitate data-driven analysis, automation, and data science 
Analyze, develop, and maintain data pipelines from internal and external sources 
Apply and build automated test-driven development, continuous integration/delivery, and version control best practices 
Qualifications 

 Required Qualifications 

 Bachelor’s Degree in Computer Science, Engineering, Mathematics, Statistics or related field 
1+ years’ experience Expertise with Azure Cloud Technologies (Data Factory, PowerShell, Data Lake and Data Lake Analytics) 
Experience with Streaming data tools and techniques such as Azure Streaming Analytics and Kafka 
Experience with cloud gateways, queues, messaging hubs such as Azure Event Hub, Azure IoT Hub, MQTT, XMPP, CoAP, API Integration 
NoSQL environments such as CosmosDB 
Engineering and/or software development experience and demonstrable architecture experience at enterprise scale 
History of working successfully with cross-functional engineering teams 
Structured, Unstructured, Semi-Structured Data techniques and processes 
Working knowledge of Azure HDInsight + Spark, Azure Databricks 
Strong communication skills (written and verbal) 
Experience working with and creating data architectures. 

Preferred Qualification:
 Big Data platforms e.g. Azure DW, SQL PDW, Cloudera, Hortonworks 
Visualization: Qlikview, Tableau, D3.js 
Big Data Analytic frameworks and query tools such as: HDINsight, Spark, Storm, Hive, Impala 
ETL tools such as Microsoft SSIS, Azure Data Factory, Pentaho PDI or Talend or Informatica; also experience with ELT 
Continuous delivery and deployment using Agile Methodologies. 
Data Warehouse and DataMart design and implementation 
NoSQL environments such as MongoDB, Cassandra 
Data modeling of relational and dimensional databases 
Machine Learning (Python, R, Scala, Spark) 
Architect/design data management processes and capabilities (e.g governance, archiving, metadata, master data mgmt., data modeling, data quality) 
A nice to have would be knowledge of ML / AI environments and challenges – particularly as it relates to data management 
Experience working in the retail/health care/finance industry is a plus",SimplyHired.com,Data Analyst,Intern,,
636,Data Science Analyst,,Arlington,VA,,USA,0.00,81000.00,110000.00,95500.00,,"EducationBachelor's Degree
SkillsSQL
Hadoop
Spark
MySQL
Data WarehouseINTEGRITYOne Partners is seeking a Data Science Analyst to support the database schema development, data acquisition, transformation, standardization, and developing advanced analytical concepts to support data analysis at our client (USSC). 

 Why You'll Love US!! 

Because…..You Will Be an integral part of the team by:
 Collaborating across multiple stakeholders including clients and senior data engineers to develop scalable standard schemas 
Performing data acquisition, standardization and transformation activities to develop standard data for downstream analytic consumption 
Designing and developing high-performing SQL for efficient data transformation 
Use of Python and Python frameworks to manage and analyze data 
Developing and maintaining data models, reporting systems, data management systems, and dashboards 
Participating in visualization design, development, ongoing support 
Solving a range of data-related problems, analyzing possible solutions, and implementing optimal ones 
Maintaining up-to-date knowledge of modern data technologies and data management platforms 
Researching and gathering requirements for data services, applications, and products 
Preparing data related procedures and documentation 
Supporting the testing of deliverables and providing data analysis as needed 

 You're really going to love the fact that we have high standards for the members of our team -and when our people meet these standards, the personal and professional rewards are plentiful! We help INTEGRITYOne Partners' employees grow in their careers by gaining enhanced Federal knowledge and experience, sought-after skills, greater discipline and drive, and targeted education and training. 

 Why We'll Love You! 

Because…..you have:
 Bachelor's degree in Computer Science, IT, Data Science, Statistics, Engineering or related field, or Bachelor's in another field with applicable work experience in the IT/data field 
Demonstrated expertise in one or more SQL variants: PostgreSQL, MySQL, Oracle, SQL Server, or DB2 
Demonstrated expertise with one or more development ecosystems (e.g., Java, .Net, Python, etc.) 
Experience developing ETL processes 
Proven ability to work with users to define requirements and business issues 
Excellent analytic and troubleshooting skills 
Strong written and oral communication skills 
Strong problem solving, quantitative and analytical abilities 
Knowledge of file structures, data structures, and batch processing 
Knowledge of real-time data acquisition and/or automation/controls environment 
Works well within teams of various disciplines 
Adapts to changing environments that may require alternative solutions or approaches 
Strong desire to continually learn and develop technical and organizational knowledge and skills 
Interest in cutting edge data technologies 

 And We'd Really Love it if you…. 

Demonstrated mastery in database concepts and large-scale database implementations and design patterns 
Had experience with Python and Python analytics frameworks 
Had experience with advanced analytics patterns/implementations including NLP and Deep Learning 
Had experience with Big Data environments including Spark/Hadoop 
Worked with streaming technologies 
At INTEGRITYOne Partners, we have high standards for the members of our team - and when our people meet these standards, the personal and professional rewards are plentiful. We help INTEGRITYOne Partners’ employees grow in their careers by gaining enhanced Federal knowledge and experience, sought-after skills, greater discipline and drive, and targeted education and training 

 INTEGRITYOne Partners is an equal opportunity employer Minorities / Females / Veterans / Disabilities. All qualified applicants will be considered without regard to race, ethnicity, color, national origin, religion, sexual orientation, gender identity, veteran status, or status as a qualified individual with a disability or any other personal characteristic protected by law. 

 L7cqqLdcQo",SimplyHired.com,Data Analyst,Intern,,
637,Data Science Intern,,Chicago,IL,,USA,0.00,68000.00,86000.00,77000.00,,"EducationDoctoral Degree
SkillsSQL
Hadoop
Analytics
Scala
SparkData Science Intern - (0103300) 
As a Data Science Intern, you’ll be part of a team that focuses on researching and building machine learning applications to extend our personalization platform. Conversant’s personalization is based on analysis of anonymized data at internet scale and is used in evaluating 1 trillion advertising opportunities per month – in real-time. As an Intern you will be able to apply your field of study to real problems with an opportunity to directly impact our business, gaining experience with internet-scale data and state-of-the-art computing clusters. Several of our team members are graduates of our Intern program from previous years! 

 Essential Functions and Responsibilities 

 Develop a basic understanding of Conversant’s personalization platform. 
Use your machine learning expertise to research and recommend the best approaches to solving one of our technology + business problems. 
Implement and validate your solution. 
Work with other teams to integrate your solution into Conversant’s platform. 
Document and present your approach. 

 Education and Experience 

 In a Ph.D. program in Computer Science, Engineering, Statistics, Mathematics, Linguistics, or related field. 
Research experience and coursework in data science, machine learning, graph theory, optimization, or language processing. 
Fluency in programming (Scala, SQL, Python, or R a plus). 
Experience with Large Data Sets (Hadoop, Spark, Cassandra, or MPP a plus). 
Desire to work in a highly collaborative environment. 
Desire to apply your expert knowledge to grow a business. 

 #analytics 
#LI-DC1 
Primary Location: USA - United States-3090 - Illinois-50082 - Chicago-L5-Chicago, IL - CNVR 

Work Locations:
 L5-Chicago, IL - CNVR 

 Chicago 60606 
Job: General 
Organization: Epsilon 
Schedule: Temporary 
Job Type: Full-time 
Job Posting: Aug 20, 2019, 3:03:44 PM 
Division: Conversant 
RI: AL",SimplyHired.com,Data Scientist,Intern,,
638,"Data Science Operations Research Analyst, Mid",,Arlington,VA,,USA,0.00,88000.00,120000.00,104000.00,,"EducationBachelor's Degree
SkillsC#
Visual Basic
Java
Communication Skills
Data MiningKey Role:
 Apply operations research and data science techniques across a wide range of military problems, including acquisition, personnel, operations, and strategic planning. Explore and examine data from multiple disparate sources with the goal of discovering patterns and previously hidden insights. Provide modeling and simulation support. Define problems, build models, identify performance measures, and perform gap and root cause analyses. Develop and implement machine learning, data mining, and statistical and graph–based algorithms to solve large–scale, complex, and challenging problems across the DoD. Leverage analytical and technical expertise, including operations research, engineering, mathematics, statistics, and computer science. 

Basic Qualifications:
Experience with programming languages, including Java, C++, C#, VBA, and Python
Experience with statistical analysis, including descriptive and inferential statistics, probability theory, predictive modeling, data sampling, and a variety of statistical tests and procedures
Secret clearance required
BS degree in Operations Research, Management Science, Applied Mathematics, Statistics, Engineering, or CS
Additional Qualifications:
Knowledge of DoD, DON, and USMC Planning, Programming, Budgeting, and Execution (PPBE) processes
Knowledge of authoritative DoD, DON, and USMC databases
Possession of excellent oral and written communication skills
Clearance:
 Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required. 

 We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change. 

 NMC",SimplyHired.com,Data Scientist,Mid Level,,
639,Data Science Software Engineer - Entry Level,,Akron,OH,,USA,0.00,70000.00,100000.00,85000.00,,"EducationBachelor's Degree
Master's Degree
SkillsData Management
Benefits Administration
Node.js
Hadoop
Spark
BenefitsHealth InsuranceBGI Company Overview

BGI is a unique and innovative veteran-owned small business that brings together highly experienced leaders and managers, instructors, operators, training experts, operational subject matter experts (SMEs), software and systems engineers and courseware developers into a mission-oriented environment that fosters teamwork, innovation and reliability with our customers and partners. Since 1994, BGI has grown from a few aviators consulting on training device development into a respected training, engineering and technical services organization.

BGI provides a wide array of services that match customer needs with a uniquely qualified team of experts to solve real problems in today’s complex training and operational environments. BGI has established a reputation for excellence in training system products and technical services that adhere to ever-tightening cost and schedule constraints while continually meeting the needs and expectations of the end user. BGI has an extensive history supporting Flight Training, Flight Data Analytics, Conditioned Based Maintenance (CBM) and highly technical Simulation and Training projects. BGI has invested heavily in Internal Research and Development (IR&D) related to data analytics and reporting, “big data” data warehouse capabilities, cloud and hybrid cloud hosting, web-based interfaces and enhanced cybersecurity. BGI’s mature infrastructure of highly effective communication and information technology tools along with ISO 9001:2015 certified quality and management processes keep everyone informed, clearly tasked and aligned with program objectives wherever their work is located.

Position Summary

In this position, you are part Data Scientist and part Software Engineer. You are familiar with military aviation contexts and relate to a variety of stakeholders. You support data analysis and software development for aircrew performance assessment across the spectrum of aviator competencies, tracking training progress, and related fleet trending. Your work is highly technical and results in innovated analysis techniques with results presented in visualizations intuitive to users. You use a combination of off-the-shelf and custom-built tools for exploratory data analysis and then develop production systems using the developed logic and reports. You leverage high-performance libraries that interface with structured (time-series), semi-structured, and unstructured data. Each day brings a new challenge and a new reward where your efforts create tools to keep the airspace safe.

BGI is looking to fill a dynamic position applying data science in aviation for efficient training and operations toward saving lives and money. As a Data Science Software Engineer, you will apply algorithms to heterogeneous data in support of decision making that establishes key infrastructure processes.

Job Responsibilities
Create complete data analysis solutions for end-user needs
Author software to solve data science problems in aviation
Identify trends and explain anomalies using data science at scale
Apply a variety of techniques to analyze heterogeneous data sources
Leverage data aggregation, statistical analysis, and data mining algorithms
Apply efficient data storage and access schemes
Interpret and validate results for data-driven decision support
Perform key roles in design, development, and implementation
Collaborate with engineering team to develop solutions
Apply level of experience and judgement to support planning and accomplish goals
Develop scope, cost, and schedule estimates
Support and educate customers in the field
Interact with customers to gather requirements and communicate scope, cost, & schedule

Required and/or Preferred Qualifications (education, experience, licenses, skills)
MUST BE A U.S. CITIZEN
Minimum of bachelor’s degree or equivalent with a strong background in mathematics and programming
Demonstrated capacity for leadership, collaboration, and independent initiative
Proficiency with Python 3 development
Proficiency with Python Data Science stack (Pandas, SciPy, Numpy, Scikit-Learn, Matplotlib, etc.)
Proficiency in Data Science fundamentals (preprocessing, feature engineering, regression, etc.)
Experience applying Machine Learning techniques to real-world problems
Experience visualizing and effectively communicating analysis results

Preferred: 
Master’s degree in computer science, applied math, or engineering
Experience developing production-level software solutions integrating multiple technologies
Experience developing advanced Data Science solutions (performance assessment, sentiment analysis, etc.)
Experience with processing platforms and tools at scale (Hadoop including Spark 2, Dask, etc.)
Experience with a variety of data management tools (graph databases, HDF5, Parquet, etc.)
Experience with interactive visualization frameworks (Altair, d3js, Vega-Lite, Bokeh, etc.)
Experience with JavaScript for client-side web development (Node.js, React, etc.)
Experience with structured software practices (object-oriented, test-driven development, Agile, etc.)
Domain knowledge in military aviation desired, especially related to analytics

Salary and Benefits

Salary commensurate with experience

Competitive benefits

Up to 25% travel

Interested Applicants Should Contact BGI at:  http://www.bgi-llc.com/content/Careers/

Job Type: Full-time

Experience:
relevant: 1 year (Preferred)",SimplyHired.com,Data Scientist,Entry Level,,
640,Senior Software Engineer Data / Analytics,,San Jose,CA,,USA,0.00,110000.00,160000.00,135000.00,,"EducationBachelor's Degree
Master's Degree
SkillsSQL
Google Cloud Platform
Hadoop
AWS
Spark**Description** 

 At Pearson, we’re committed to a world that’s always learning and to our talented team who makes it all possible. From bringing lectures vividly to life to turning textbooks into laptop lessons, we are always re-examining the way people learn best, whether it’s one child in our own backyard or an education community across the globe. We are bold thinkers and standout innovators who motivate each other to explore new frontiers in an environment that supports and inspires us to always be better. By pushing the boundaries of technology — and each other to surpass these boundaries — we create seeds of learning that become the catalyst for the world’s innovations, personal and global, large and small. 

 The Personalized Learning and Analytics team (PLA) in Pearson is responsible for software development of analytics services and machine learning platforms. PLA is growing and we are looking for a new team member to help data capabilities to compliment Pearson’s Global Learning Platform (GLP). Together with a highly multi-disciplinary team of engineers, data scientists, strategic partners, product managers and subject domain experts you will work on building big data products and solutions. You will work on a best-in-class cloud computing platform, with cutting edge big data tools at your disposal while having access to experts in education, learning design, engineering and data science. 

 Pearson is an Equal Opportunity and Affirmative Action Employer, and a member of E-Verify. All qualified applicants, including minorities, women, veterans, and people with disabilities are encouraged to apply. 

 **RESPONSIBILITIES** 

 + Experience working on internal or client-facing projects to completion; experience troubleshooting clients' technical issues; experience working with quality engineering, product engineering and product intelligence teams 

 + Become a trusted team member by delivering efficient, adaptable and scalable data architecture solutions 

 + Work with PLA teams and Enterprise Data Architecture teams to implement Pearson’s global product data strategies 

 + Create and deliver best practices recommendations, tutorials and technical presentations to different levels of key business and technical stakeholders 

 + Manage complex data ingestions and access layers that process unstructured big data in the most cost effective and robust way 

 + Deploy inclusive data quality checks to ensure high quality of data 

 + Optimize existing pipelines and maintenance of all domain-related data pipelines 

 + Design and develop new systems in partnership with software engineers to enable quick and easy consumption of data 

 + Communicate effectively via video conferencing for meetings, technical reviews and onsite delivery activities 

 **Qualifications** 

 **QUALIFICATIONS** 

 + BS/MS degree in Computer Science, Mathematics or a related technical field, or equivalent practical experience. 

 + 5 years’ experience in SQL data engineering, applying DWH/ETL best practices in AWS and/or GCP 

 + 5 years in custom or structured ETL design, implementation and maintenance using technologies such as Matillion, Informatica, InfoSphere, Data Integrator, SSIS 

 + 5 years working with big data, information retrieval, or data mining with familiarity with multiple modern query technologies such as Snowflake, Redshift, Spark, Big Query, Hadoop, EMR, SageMaker, or Scoop 

 + 5 years building multi-tier high availability applications with modern web technologies such as EC2, ELB / ALBs, autoscaling, AWS Lambda, Elastic Beanstalk, Ansible. 

 + 5 years writing software in one or more languages such as Java, Scala, Python, Ruby. 

 Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply. 

**Primary Location: ** US-CA-San Jose 

**Work Locations: ** US-CA-San Jose-303 Almaden 303 Almaden Boulevard Suite 500 San Jose 95110 

**Job: ** Technology 

**Organization: ** Global Product 

**Employee Status: ** Regular Employee 

**Job Type: ** Standard 

**Shift: ** Day Job 

**Job Posting: ** Nov 12, 2019 

**Job Unposting: ** Ongoing 

**Schedule: ** Full-time Regular 

**Req ID: ** 1913206 

 Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.",SimplyHired.com,Data Engineer,Senior,,
641,Data Acquisition Engineer (SCADA/Web Backend),,New York,NY,,USA,0.00,110000.00,140000.00,125000.00,,"EducationBachelor's Degree
SkillsNode.js
NEC
Web Design
HTML5
SFTPGameChange Solar is one of the fastest growing, most dynamic companies in the rapidly growing solar industry. We have top quality solar racking and tracker products that generate the most amount of energy, are the fastest to install, and the most cost effective.

The Data Acquisition Engineer will working development to improve our framework for data acquisition and control of our fleet of 100's of MW of solar trackers. They will also develop tools for data processing and visualization to provide for new features for our products. This is an exciting opportunity for an engineer with experience in web design and SCADA who has solid communication skills.We offer a solid base with significant bonus upside for exceptional performance.

Roles and responsibilities include but will not be limited to:

· Develop a system for local SCADA interfacing

· Configure software suites to meet our system needs

· Develop custom applications to perform data acquisition and reporting

· Create user-friendly HMIs

· Work with engineering team to design and develop our back end for data acquisition and control

· Use machine learning techniques to improve system performance

Skills and Education:

· Experience with networks and SCADA

· Experience with backend web design

· Python, Google VM, Linux, Javascript/css/html Node, React

· Experience with Modbus, TCP, SSH, SFTP

· Knowledge of NEC, industry protocols (IEC-61850, DNP, Modbus, OPC),Ethernet systems, protocol analyzers, and industry SCADA practices

· Experience with SCADA integration software such as Kepware

· Bachelor's Degree in Electrical Engineering with preferredemphasis in software, integration and automation, and industrial controls

· 2+ years experience in SCADA, industrial controls, or backend webdesign

· Strong Communication skills: Mastery of written and spoken English required

Salary DOE

Business Office professional attire when in office setting.

PPE and GCS attire for onsite visits.

Job Type: Full-time

Experience:
SCADA: 2 years (Required)
Backend web design: 2 years (Required)

Work authorization:
United States (Required)

Application Question:
Do you have Bachelor's Degree in Electrical Engineering?",SimplyHired.com,Data Engineer,,,
642,Intern Data Science /Analytics,,Memphis,TN,,USA,0.00,60000.00,87000.00,73500.00,,"EducationBachelor's Degree
Doctoral Degree
SkillsSQL
Hadoop
Spark
Data Collection
Microsoft Office
BenefitsRelocation AssistanceCompany: FedEx Services 
Job Title: Intern Data Science /Analytics 
Job Requisition Number: RC188130 
Category: Intern 

Locations:
 Memphis, Tennessee 38116 
United States 

 This is a 10-week assignment for students pursuing a college degree. Assignments are directly related to intern's academic degree. Under direct supervision, performs duties as assigned. Student participates in a number of organized events providing visibility into the overall operations of FedEx. 

 Full-time internship opportunity available in the Memphis, TN area from June 2020 to August 2020. 
Under close supervision, the successful candidate may assist with project management, process mapping, data analysis, workflow documentation, and report automation. The project may relate to developing customer profiles based on data attributes, or analyzing package data attributes to optimize customer satisfaction. The intern may assist with: 

 Conducting data analytics, customer profiles, report development, and/or research. 
Interacting with business partners and/or staff to gather, interpret, and document customer and operational behavior for data analysis. 
Documenting systems functions and business process flows. 
The ideal candidate will possess the following skills and experience: 
Strong analytical/quantitative, project/program management, organizational, leadership, presentation, and verbal and written communication skills. 
Ability to manage multiple tasks, set priorities and monitor ongoing results. 
Ability to synthesize big data (quantitative and qualitative); Report design/development. 
Knowledge or experience with one or more of the following: data analytics, forecasting/modeling, strategy planning, engineering planning, operations, economics, process mapping, database query creation, web development, and project management. 
Basic knowledge of one or more of the following: the software development process, systems applications and architecture, Query Languages, “R,” MATLAB, Python, C++, objective-C, and SQL. 
Experience with Big Data technologies like Hadoop, Spark, Hive, Kafka, Hbase, etc. 
Use of one or more analytic software tools or languages such as. Scala, R, Python, SAS 
Demonstrated expertise in developing data pipelines with industrial datasets to enable descriptive, applied, and predictive analytics 
Information technology data collection, organization, integration, data cleansing, data quality assessment, and using analytics for data assessment 
Knowledge of PowerPoint, Keynote or Prezi and the Microsoft Office suite. 

The following are considered a plus:
 Enrollment as undergraduate at junior year or above or graduate student in Engineering, Industrial Engineering, Operations Engineering, Software Engineering, Computer Engineering, Computer Science, Information Systems, Process Analysis, Systems Analysis and Design, Decision Science, Data Science, Statistics, Applied Statistics, Quality Improvement Analytics, Informatics, Mathematics, Business, Management, Finance, Accounting, Economics, Industrial Psychology, or other related major. 
Ideally, plans to graduate within 12 months of completing the internship and begin full-time employment. 

Resume should include the following information:
 College address and permanent home address. 
Email address. 
Telephone number. 
The following regarding the degree you are currently pursuing: 
Name of college/university. 
Degree (For example, bachelor’s degree, master’s degree, or doctorate). 
Major and/or minor. 
Overall GPA. 
Major GPA. 
Date of intended graduation (Month and year). 

Domicile Location:
 The Memphis, TN area. 
Relocation assistance not available. 

 Want a career where you are empowered to make a difference? Want to work for a company that is environmentally responsible? Want to grow and develop on the job? If so, FedEx is the place for you! Every day FedEx delivers for its customers with transportation and business solutions. FedEx serves more than 220 countries and territories around the globe. We can serve this global network due to our outstanding team of FedEx employees. FedEx has over 400,000 talented employees who are tasked with making every FedEx experience outstanding. FedEx has been recognized on many different lists both for business success and for being a great employer. 

 Here are some of the recognitions FedEx has received from the past couple of years: 

 Fortune ""World’s Most Admired Companies"" – 2019 
Forbes ""Best Employers for Diversity"" - 2019 
Reputation Institute ""World\’s Most Reputable Companies"" – 2019 
National Business Inclusion Consortium ""Best-of-the-Best Corporations for Inclusion"" - 2019 
Women\’s Business Enterprise National Council ""America’s Top Corporations for Women’s Business Enterprises"" - 2018 
Corporate Responsibility Magazine ""100 Best Corporate Citizens"" – 2018 
Black Enterprise ""50 Best Companies For Diversity"" – 2018 
When 400,000 employees around the globe are all working together it is amazing what we can achieve! FedEx connects people and ideas. If you would like to make a difference on a global scale while receiving top notch benefits, competitive pay, and plenty of opportunities to develop, click ‘Apply’ and tell us more about yourself. 

 EEO Statement - FedEx is an equal opportunity/affirmative action employer (minorities/females/disability/veterans) that is committed to diversifying its workforce.",SimplyHired.com,Data Analyst,,,
643,Senior DevOps Engineer - Data Science Team,,Draper,UT,,USA,0.00,92000.00,130000.00,111000.00,,"EducationDoctoral Degree
Bachelor's Degree
Master's Degree
SkillsGit
401(k)
Software Development
CI/CD
Python
BenefitsTuition Reimbursement
Dental Insurance
Food Provided
Health Insurance
Paid Time OffJob Description 

 As a Senior DevOps Engineer, you will build and manage a continuous integration/continuous deployment pipeline to allow our Data Science team to deploy new software, predictive models, etc. quickly, easily, and seamlessly into a production environment. You will be responsible for the process whereby Data Science models and rules move from the analytical stage to live in production. You will ensure that the process includes robust and thorough testing, and that as much of that testing is automated as possible. You will work to simplify and speed up the testing process while also making it more resistant to human error. Most importantly, you’ll be part of a team that forms the backbone of a fast-growing company at the forefront of an exciting, growing industry. 

What You'll Do:
 Work with Data Science and Engineering teams to build a deployment pipeline for Data Science models and rules 
Develop tools to automatically test the models in a production-like environment, making it so that the Data Scientists can easily find and fix bugs before the model is actually in production 
Improve the testing process and tools to reduce time to deployment as well as error rates 
Be part of a fast-growing team of like-minded data scientists who work and play together, and who love what they do and where they do it! 

Minimum Experience & Qualifications:
 Bachelor’s Degree in Computer Science or related field, MS or PhD preferred 
5+ years of software development experience 
2+ years of experience in continuous integration/continuous deployment tools and technologies 
Experience developing software collaboratively using Git 
Experience with Python including pandas, sklearn, and API development and deployment 

Compensation, Perks & Benefits:
 Competitive Compensation 
Full Health Benefits - Medical/Dental/Vision 
401k, Paid Time Off and Tuition Reimbursement 
Full Service Gym, Game and Lounge Area, Basketball Court 
Free Healthy Snacks and Refreshments 
Subsidized Public Transit 
Fun and Relaxed Work Environment 

 WHO IS PROGRESSIVE LEASING? 

 Prog Leasing, LLC, a wholly-owned subsidiary of Aaron’s, Inc (NYSE: AAN), is the largest and longest-tenured virtual lease-to-own provider in the United States. The company’s mission is to provide simple and affordable purchase options for credit-challenged consumers. Over the last 19+ years, Progressive Leasing’s fair and transparent NO CREDIT NEEDED lease-to-own option has helped millions of customers and their families, even if they have less-than-perfect credit or an inability to pay for their purchase upfront. Progressive has also helped more than 27,000 retail stores drive increased revenue and improve customer satisfaction. Learn more at http://www.progleasing.com. 

 Progressive Leasing does not discriminate in any aspect of employment on the basis of race, color, religion, national origin, ancestry, gender, sexual orientation, gender identity and/or expression, age, veteran status, disability, or any other characteristic protected by federal, state, or local employment discrimination laws where Progressive Leasing does business.",SimplyHired.com,Data Engineer,Senior,,
